"Isolate","Strain","ratio","citscore"
3,"cit0",0.194910832033669,257.090620035434
5,"cit0",0.228246564624803,257.090620035434
6,"cit0",0.232351746971878,257.090620035434
3,"cit3",0.186377436116834,283.993006718826
5,"cit3",0.167556689647169,283.993006718826
6,"cit3",0.182935852024602,283.993006718826
3,"cit6",0.172923690595445,291.718444544273
5,"cit6",0.173785721843547,291.718444544273
6,"cit6",0.180142104637157,291.718444544273
3,"cit9",NA,316.285182669547
5,"cit9",0.0741758964637027,316.285182669547
6,"cit9",0.0857061321721905,316.285182669547
3,"citmax",0.0151897458042592,397.147300402271
5,"citmax",0.00088425670766313,397.147300402271
6,"citmax",0.0158804193093325,397.147300402271
3,"citmin",0.278674878806935,186.286193292396
5,"citmin",0.28275714186869,186.286193292396
6,"citmin",0.285837001418584,186.286193292396
